TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
SWOD-AF3QGR,Pacific Pizza,12817 Old Yale Rd,Surrey,Restaurant,49.19783731,-122.86702045
NDAA-9AZT2Q,Pacifica Retirement Residence,2525 King George Blvd,Surrey,Restaurant,49.04778017,-122.7976604
A019866    ,Pak Punjab Sweets & Somosas House,12835 96 Ave,Surrey,Restaurant,49.17731947,-122.86660146
SPLH-9P9LLM,Pakwan House,13030 76 Ave,Surrey,Restaurant,49.14081751,-122.86117413
SPLH-9NKPBX,Palmyra Mediterranean Grill,10020 152 St,Surrey,Restaurant,49.18460092,-122.80059474
HCAR-AUNR89,Panago #022,16120 24 Ave,Surrey,Restaurant,49.04472384,-122.776141
A019660    ,Panago #07,14851 108 Ave,Surrey,Restaurant,49.1994351,-122.81019765
SODN-65HUKF,Panago #10,8556 120 St,Surrey,Restaurant,49.15831669,-122.8900703
GEDS-7BRP3Y,Panago #23,7320 King George Blvd,Surrey,Restaurant,49.13512719,-122.84513975
A019251    ,Panago #32,15420 Fraser Hwy,Surrey,Restaurant,49.1635911,-122.79556223
NDAA-93TVRY,Panago #65,12840 16 Ave,Surrey,Restaurant,49.03114098,-122.86620632
SDFO-8LML24,Panago #80,5669 176A St,Surrey,Restaurant,49.10533344,-122.73387815
SHEN-B32QLT,Panago Pizza #34,7310 120 St,Surrey,Restaurant,49.1357896,-122.89000833
NDAA-9DSUU7,Panda Szechuan,3099 152 St,Surrey,Restaurant,49.05809016,-122.80213669
GEDS-6TEV3Q,Panorama Ridge Secondary School Food Service,13220 64 Ave,Surrey,Restaurant,49.11879109,-122.85498745
HCAR-B7YPEQ,Papa Joe's Pizza,16055 Fraser Hwy,Surrey,Restaurant,49.1569391,-122.77710268
SHEN-AZUMHY,Papa John's (Surrey),10558 King George Blvd,Surrey,Restaurant,49.19478964,-122.84493854
SDFO-8JBLH9,Papa John's Pizza #009770 (Surrey),10320 152 St,Surrey,Restaurant,49.19010913,-122.80059715
SWOD-AHBR8X,Papa John's Pizza (South Surrey),2245 160 St,Surrey,Restaurant,49.04289123,-122.77955252
MARO-AZMPRS,Papa Murphy`s Pizza,15355 24 Ave,Surrey,Restaurant,49.04583671,-122.79750443
GEDS-82XN83,Parkland Fellowship,9574 160 St,Surrey,Restaurant,49.17636906,-122.77856423
