TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
A020412    ,Sandcastle Bowl Bar & Grill,1938 152 St,Surrey,Restaurant,49.03724945,-122.8009197
A018007    ,Sangam Palace,11267 125A St,Surrey,Restaurant,49.2073838,-122.87468775
GEDS-6NKTCW,Sanja Punjab Sweet House,12830 96 Ave,Surrey,Restaurant,49.17696905,-122.86709444
SHEN-A4MU79,Sapphire 2 Bistro Banquets,7500 120 St,Surrey,Restaurant,49.13913715,-122.8900684
SWOD-A35RCT,Sapporo Kitchen,1625 152 St,Surrey,Restaurant,49.03240001,-122.80169142
SWOD-AENN54,Sarpanch Sweets And Restaurant,14645 108 Ave,Surrey,Restaurant,49.19888287,-122.81641301
SWOD-9Z3M5P,Sashimi & Sushi Express,15277 100 Ave,Surrey,Restaurant,49.1844401,-122.79879019
SDFO-8FQQ94,Satnam Education Society of BC,10677 124 St,Surrey,Restaurant,49.19613704,-122.87891244
SWOD-AHBRRB,Satya Asha Fusion Bar & Restaurant,12818 72 Ave,Surrey,Restaurant,49.13371285,-122.86737908
A019543    ,Save On Foods #2207 - Deli,10312 King George Blvd,Surrey,Restaurant,49.18972695,-122.84488625
GEDS-6VZNPH,Save On Foods #2215 - Deli,17745 64 Ave,Surrey,Restaurant,49.11971809,-122.73192462
HCAR-AZXQVR,Save On Foods #2215 - Wine,17745 64 Ave,Surrey,Restaurant,49.11971809,-122.73192462
SWOD-A4ZPMN,Save On Foods #2215 Kitchen,17745 64 Ave,Surrey,Restaurant,49.11971809,-122.73192462
A019397    ,Save On Foods #2235 - Kitchen,1641 152 St,Surrey,Restaurant,49.0325256,-122.80168925
GEDS-7MKUBS,Save On Foods #2263 - Deli,18710 Fraser Hwy,Surrey,Restaurant,49.12422162,-122.70339163
A019791    ,Save On Foods #903 - Deli,3033 152 St,Surrey,Restaurant,49.05707032,-122.8020864
GEDS-79JU38,Save On Foods #910 - Deli,7320 King George Blvd,Surrey,Restaurant,49.13512719,-122.84513975
SHEN-9UJU2N,Save On Foods #918 - Kitchen,9014 152 St,Surrey,Restaurant,49.16697429,-122.79924081
GEDS-66S2CD,Save On Foods #939 - Deli,12130 Nordel Way,Surrey,Restaurant,49.16125226,-122.88603247
JRON-67B26M,Save On Foods #939 - Seafood Section,12130 Nordel Way,Surrey,Restaurant,49.16125226,-122.88603247
SDFO-8EUQ7N,Sawbuck's Pub,1626 152 St,Surrey,Restaurant,49.0316488,-122.80089611
NDAA-9R9MQD,Scott Hill Pizza,15154 Fraser Hwy,Surrey,Restaurant,49.16640004,-122.80266692000001
SHEN-ABMQFG,Scott Hill Pizza,9380 120 St,Surrey,Restaurant,49.17352547,-122.88992003
GEDS-6TSR35,Scott Hill Pizza (137th St),7330 137 St,Surrey,Restaurant,49.13602606,-122.84257911
SWOD-AQFQD7,Scott's 96 Pizza,15932 96 Ave,Surrey,Restaurant,49.17674494,-122.78081937
SWOD-A54NS4,Scott's Landing,14877 108 Ave,Surrey,Restaurant,49.19944932,-122.80927913
A018893    ,Scottsdale Lanes Snack/Lounge,12033 84 Ave,Surrey,Restaurant,49.15611731,-122.88898871
GEDS-6E8Q78,Seahorse Grill,12147 Sullivan St,Surrey,Restaurant,49.05601542,-122.8852786
SPLH-9SZQ3M,Second Cup - Store #9686,13750 96 Ave,Surrey,Restaurant,49.1768222,-122.84244062
SHEN-A2KV3D,777 Pizza & Donair,7750 128 St,Surrey,Restaurant,49.14358109,-122.86765344
JDSO-AD4MWR,A & W #0755,8811 126 St,Surrey,Restaurant,49.1633754,-122.87378641
A017301    ,A&W #0180,1711 152 St,Surrey,Restaurant,49.0331143,-122.80166897
A018613    ,A&W #0315,17830 56 Ave,Surrey,Restaurant,49.10399479,-122.72846685
A017293    ,A&W #0338,7330 King George Blvd,Surrey,Restaurant,49.13603845,-122.84523374
A017349    ,A&W #0339,12133 72 Ave,Surrey,Restaurant,49.13426872,-122.88670632
A017335    ,A&W #0348,15988 Fraser Hwy,Surrey,Restaurant,49.15724844,-122.77953862
A020068    ,A&W #0389,8488 120 St,Surrey,Restaurant,49.15703763,-122.89010064
SDFO-8HVQQ6,A&W #0575,2303 King George Blvd,Surrey,Restaurant,49.04383959,-122.79200794
HCAR-BC9TWR,A&W #0735,10153 King George Hwy,Surrey,Restaurant,49.18592247,-122.84584777
SWOD-A53UKG,A&W #0768,9900 King George Blvd.,Surrey,Restaurant,49.18235922,-122.84490698
NDAA-9BHRSB,A&W #749,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
SHEN-A6LRKW,A&W Restaurant #0767,16033 108 Ave,Surrey,Restaurant,49.1989669,-122.77775438
HCAR-AVHUXX,A&W Restaurant #0789,2332 160 St,Surrey,Restaurant,49.04383012,-122.77640308
SHEN-9SZQZX,A&W Restaurant (Campbell Heights),2725 192 St,Surrey,Restaurant,49.05220052,-122.69181883
GEDS-7WNLD2,A1 Coffee & Donuts,14795 108 Ave,Surrey,Restaurant,49.19888405,-122.81272726
NDAA-9LCTP9,Aaron's Steak & Pizza,17665 57 Ave,Surrey,Restaurant,49.10610661,-122.73323685
GEDS-82GN63,Academics preKindergarten,15300 Croydon Dr,Surrey,Restaurant,49.05992987,-122.79803439
SHEN-B55Q3P,Active Body Express,15850 26 Ave,Surrey,Restaurant,49.04901067,-122.78305075
HCAR-BANU4F,Adana Grill,13647 72 Ave,Surrey,Restaurant,49.13373657,-122.8442029
SDFO-8JQQA2,Afghan Bakery and Fast Food,13748 104 Ave,Surrey,Restaurant,49.19140156,-122.84115598
GEDS-7NQMLP,Afghan Chopan,12888 80 Ave,Surrey,Restaurant,49.14799486,-122.86604834
HCAR-ASJM82,Afghan Kitchen,16120 24 Ave,Surrey,Restaurant,49.04472384,-122.776141
GEDS-7SQSSS,Aggarwal Sweets,8158 128 St,Surrey,Restaurant,49.15125369,-122.8651168
SHEN-9ZZMMA,Agoongyi Korean Restaurant,19555 Fraser Hwy,Surrey,Restaurant,49.11473773,-122.68111686
NDAA-9ENQTN,Aji Sushi Family Kitchen,3268 King George Blvd,Surrey,Restaurant,49.06108806,-122.81205645
HCAR-BDRV5B,Aka Sushi,18408 64 Ave,Surrey,Restaurant,49.11859295,-122.71198875
GEDS-6KQRZZ,Akasaka Japanese Restaurant (Surrey),15110 101 Ave,Surrey,Restaurant,49.18597032,-122.80340026
ACAK-8YCPMD,Akash Chaat House & Restaurant,12877 80 Ave,Surrey,Restaurant,49.14842952,-122.86514353
A018765    ,Al & Jan's Fish & Chips,9014 152 St,Surrey,Restaurant,49.16697429,-122.79924081
SWOD-A3NPVR,Alebi African Cuisine,10694 135A St,Surrey,Restaurant,49.19704062,-122.84670383
A013615    ,Alexandra Neighbourhood House (Main Dining Hall),2916 McBride Ave,Surrey,Restaurant,49.05540441,-122.88507212
A017226    ,Aling Mary's Filipino Restaurant,13979 104 Ave,Surrey,Restaurant,49.19166232,-122.83464941
NDAA-8YAT4Z,All About Pho,10190 King George Blvd,Surrey,Restaurant,49.18759458,-122.8451525
HCAR-AUXPC5,Ambros Subway,19188 72 Ave,Surrey,Restaurant,49.13346587,-122.69157627
PNEL-8SRNSV,Amenida Seniors Community,13855 68 Ave,Surrey,Restaurant,49.12674536,-122.83893841
NDAA-93ARHG,An Pho Vietnamese Restaurant,13784 104 Ave,Surrey,Restaurant,49.19140543,-122.84041461
NDAA-8YPQCC,Anand Pizza and Sweet Shop,13245 72 Ave,Surrey,Restaurant,49.13385503,-122.85542502
JDSO-ACPLSA,Anjali's Dosa Garden,13560 77 Ave,Surrey,Restaurant,49.14253796,-122.84706447
NDAA-9C3S2J,Aomori Sushi Japanese Restaurant,13767 72 Ave,Surrey,Restaurant,49.13376303,-122.83986765
GEDS-7HVV7W,Apna Chaat House,7500 120 St,Surrey,Restaurant,49.13913715,-122.8900684
NDAA-98TQ7G,Arbourside Court,13751 74 Ave,Surrey,Restaurant,49.13739667,-122.84046032
SHEN-A72QX9,Archies BBQ,10180 153rd St,Surrey,Restaurant,49.1875961,-122.7978827
MARO-B3LRLU,Argyll Lodge,14590 106A Ave,Surrey,Restaurant,49.1958818,-122.817822
SPLH-9SZU57,Aria Banquet & Convention Centre,12350 Pattullo Pl,Surrey,Restaurant,49.20319635,-122.88030063
GEDS-7TBT7Q,Arirang Korean Restaurant,14916 104 Ave,Surrey,Restaurant,49.19133805,-122.80824716
A019968    ,Asia Restaurant,15551 Fraser Hwy,Surrey,Restaurant,49.16241879,-122.79125861
JDSO-ACJV37,Asian Flavour Deli,13048 Old Yale Rd,Surrey,Restaurant,49.18882471,-122.86071645
GEDS-6HLMTJ,Asian Noodle Island,15988 Fraser Hwy,Surrey,Restaurant,49.15724844,-122.77953862
RORS-63ZMXY,Assini Pizza Restaurant Ltd,15551 Fraser Hwy,Surrey,Restaurant,49.16241879,-122.79125861
NDAA-94FQEJ,Awahsuk Aboriginal Head Start Association of BC,14589 108 Ave,Surrey,Restaurant,49.198918,-122.81762836
SWOD-AF3QQF,Ay Chihuahua Mexican Food,1726 152 St,Surrey,Restaurant,49.03330007,-122.80093629
HCAR-BCUQRD,B & B Restaurant,8077 King George Blvd,Surrey,Restaurant,49.1494583,-122.8460133
GEDS-78NVVM,Ba Le Deli & Sandwiches,15277 100 Ave,Surrey,Restaurant,49.1844401,-122.79879019
SHEN-BCSUVC,Bacayon Chibugan,13979 104 Ave,Surrey,Restaurant,49.19166232,-122.83464941
SHEN-9PELJD,Backstretch Restaurant,17740 62 Ave,Surrey,Restaurant,49.11555279,-122.73085111
PNEL-8R5V4M,Baik Mi Korean Restaurant,19539 Fraser Hwy,Surrey,Restaurant,49.11496842,-122.68161868
SHEN-9ZWSSQ,Bakeshop and Cafe,16011 Fraser Hwy,Surrey,Restaurant,49.15741148,-122.77843067
NDAA-9K2Q6R,Bamboo Restaurant,15785 Croydon Dr,Surrey,Restaurant,49.0472666,-122.78436901
MARO-AZ7VFD,Barcelo's Flame Grilled Chicken (24th Ave),16070 24 Ave,Surrey,Restaurant,49.04520078,-122.77735281
SHEN-BBWSVV,Barcelos - Impact Plaza,15280 101 Ave,Surrey,Restaurant,49.18597274,-122.79860311
SHEN-9TFPMS,Barcelos Chicken,12499 88 Ave,Surrey,Restaurant,49.16335778,-122.8766604
SHEN-A63QD6,Barcelos Flame Grilled Chicken (King George),7577 King George Blvd,Surrey,Restaurant,49.14042433,-122.84594096
SDFO-8MMLPS,Select Pizza,8434 120 St,Surrey,Restaurant,49.15659098,-122.89007953
ACAK-8XGPZ4,Select Pizza (72nd Ave),13635 72 Ave,Surrey,Restaurant,49.13383332,-122.84434575
ACAK-8HLT5U,Semiahmoo House Society,15306 24 Ave,Surrey,Restaurant,49.04543687,-122.79802571
A016809    ,Semiahmoo Secondary School,1785 148 St,Surrey,Restaurant,49.03511455,-122.81297114
SHEN-AGNMSP,Seniors Come Share Society Day Program for Adults,15355 102A Ave,Surrey,Restaurant,49.18894853,-122.79663936
NDAA-9RNU4U,Seoul Grill House,15155 101 Ave,Surrey,Restaurant,49.18629935,-122.80223401
HCAR-B9JUC2,Seriously Good Catering (Peace Portal Alliance Church),15128 27B Ave,Surrey,Restaurant,49.05269784,-122.80344077
HCAR-BA8QHR,Seriously Good Catering (Rotary Field House),2197 148 St,Surrey,Restaurant,49.04038605,-122.81508576
A019043    ,Shagun Sweets (Surrey),8388 128 St,Surrey,Restaurant,49.15488649,-122.86770069
GEDS-6MQ252,Shakerz Show Lounge,10458 Whalley Blvd,Surrey,Restaurant,49.19268665,-122.84192208
SDFO-8KCLSD,Shannon Donair,17581 57 Ave,Surrey,Restaurant,49.10609837,-122.73536299
NDAA-9H4SAQ,Sharondale Lodge,17826 57 Ave,Surrey,Restaurant,49.10591655,-122.72876489
NDAA-APCPMF,Shawarma Palace,7218 King George Blvd,Surrey,Restaurant,49.1343323,-122.84521322
SHEN-AU2UNF,Sheila's Catering,2201 148 St,Surrey,Restaurant,49.04327446,-122.81479456
GEDS-66BRLC,Sheraton Vancouver Guildford Hotel - Fresh Lounge,15269 104 Ave,Surrey,Restaurant,49.19170882,-122.79884661
GEDS-66BRNT,Sheraton Vancouver Guildford Hotel - Fresh Restaurant,15269 104 Ave,Surrey,Restaurant,49.19170882,-122.79884661
NDAA-ALUPSA,Short & Sweet Patisserie and Bakery,16793 60 Ave,Surrey,Restaurant,49.111677040000004,-122.75748196
NDAA-APCP2Z,Showshaa,3020 152 St,Surrey,Restaurant,49.0572222,-122.80085018
GEDS-6732QE,Shree Sanata Dharam Sabha (Fiji) of BC,8473 124 St,Surrey,Restaurant,49.15709529,-122.87944944
SYOG-5M59W3,Shri Durga Mandir,7750 128 St,Surrey,Restaurant,49.14358109,-122.86765344
ACAK-8XKQ6L,Sikh Academy,12895 85 Ave,Surrey,Restaurant,49.15761124,-122.86500539
HCAR-ASNP97,Snowy Village (Surrey),10090 152 St,Surrey,Restaurant,49.18575463,-122.80058146
HCAR-B97QHH,Soboya Sushi Japanese Restaurant,8952 152 St,Surrey,Restaurant,49.16530528,-122.80077813
HCAR-BCLQF8,Sockeye Sushi,18818 68 Ave,Surrey,Restaurant,49.12601123,-122.70109667
SDFO-894RT6,Sodexo Food Services - Surrey Campus,12666 72 Ave,Surrey,Restaurant,49.13362169,-122.87132535
GEDS-7P929P,Sofi's Shawarma & Donairs,8928 152 St,Surrey,Restaurant,49.16516372,-122.80115648
SHEN-AP5NAA,Softball City Extra Innings - Sport & Grill,2201 148 St,Surrey,Restaurant,49.04327446,-122.81479456
SHEN-AP5NF6,Softball City Extra Innings - Time Out Concession,2201 148 St,Surrey,Restaurant,49.04327446,-122.81479456
GEDS-6XZP8T,Song Huong Vietnamese Restaurant,14667 108 Ave,Surrey,Restaurant,49.19887903,-122.81590389
SWOD-AHRVAL,Song's Snack Stop & Convenience Store,9613 192 St,Surrey,Restaurant,49.17736128,-122.69071803
GEDS-7R5P2M,Soo's Grocery,13980 108 Ave,Surrey,Restaurant,49.19866862,-122.83459774
NDAA-9QERMR,Sources Connection Cafe & Catering,14601 20 Ave,Surrey,Restaurant,49.03980925,-122.81862201
GEDS-7UDPRX,Sources Life Skills Resource Centre,12996 60 Ave,Surrey,Restaurant,49.11169934,-122.86225504
NDAA-9QJQ4J,Sources Women's Place,15318 20 Ave,Surrey,Restaurant,49.03817959,-122.79801683
A016829    ,South Surrey Ice Arena - Lower Concession,2199 148 St,Surrey,Restaurant,49.04156877,-122.81524429
A016828    ,South Surrey Ice Arena - Upper Concession,2199 148 St,Surrey,Restaurant,49.04156877,-122.81524429
SWOD-A5GVJT,Spice 72 Indian Restaurant & Lounge,12025 72 Ave,Surrey,Restaurant,49.13426727,-122.88969705
NDAA-9A7QNA,Spice Kings,15325 56 Ave,Surrey,Restaurant,49.10524442,-122.79842902
DMIL-96GQWF,Spice Meats,7028 120 St,Surrey,Restaurant,49.13087217,-122.89004487
JDSO-AEFNMX,Spice of Nepal,13486 72 Ave,Surrey,Restaurant,49.13339373,-122.84878949
SHEN-A79US9,Spice of Punjab Sweets & Restaurant,6350 120 St,Surrey,Restaurant,49.11815677,-122.8900634
SHEN-AKAW3E,Spicy Bowl Restaurant Inc,10725 King George Blvd,Surrey,Restaurant,49.19747121,-122.84569205
SWOD-AHPVGB,Spinhouse Cycling Studio,16041 24 Ave,Surrey,Restaurant,49.04630357,-122.77770572
NDAA-9GUMV3,Sportica's Excellent Ice - On Ice Grill,15000 54A Ave,Surrey,Restaurant,49.10157588,-122.80801841
NDAA-9GUN4K,Sportica's Excellent Ice - Snack Bar,15000 54A Ave,Surrey,Restaurant,49.10157588,-122.80801841
SYOG-5M55P6,St Bernadette Parish Hall,6555 132 St,Surrey,Restaurant,49.12138486,-122.85668239
A018350    ,Starbucks Coffee #139,17967 56 Ave,Surrey,Restaurant,49.10433763,-122.72502686
JCOE-67H9B8,Starbucks Coffee #142,1658 128 St,Surrey,Restaurant,49.03233639,-122.86726889
A019329    ,Starbucks Coffee #144,7380 King George Blvd,Surrey,Restaurant,49.13673593,-122.84521073
ACAK-8VGVCP,Starbucks Coffee #17256,17455 56 Ave,Surrey,Restaurant,49.10436862,-122.73959754
A017915    ,Starbucks Coffee #175,8898 152 St,Surrey,Restaurant,49.16465749,-122.80117032
NDAA-93TW5R,Starbucks Coffee #18290,15850 26 Ave,Surrey,Restaurant,49.04901067,-122.78305075
A016904    ,Starbucks Coffee #194,1730 152 St,Surrey,Restaurant,49.03340524,-122.80092717
NDAA-9BFS8W,Starbucks Coffee #19771,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
NDAA-9NUQZV,Starbucks Coffee #22435,13737 96 Ave,Surrey,Restaurant,49.17720977,-122.84275097
SHEN-AMTPVU,Starbucks Coffee #29383,10385 120 St,Surrey,Restaurant,49.19157709,-122.89069274
SDFO-8EAUE3,Starbucks Coffee #4105,15941 Fraser Hwy,Surrey,Restaurant,49.15831657,-122.78059687
A019360    ,Starbucks Coffee #4255,10362 King George Blvd,Surrey,Restaurant,49.19096128,-122.84505611
A014724    ,Starbucks Coffee #4406,3061 152 St,Surrey,Restaurant,49.05755824,-122.80210265
GEDS-68T2FB,Starbucks Coffee #4468,10174 152 St,Surrey,Restaurant,49.18723165,-122.80063261
NDAA-9R8Q9Z,Starbucks Coffee #4473,10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
GEDS-6HQPVN,Starbucks Coffee #4593,2670 152 St,Surrey,Restaurant,49.05026809,-122.80093219
GEDS-6GTQ2V,Starbucks Coffee #4596,3278 King George Blvd,Surrey,Restaurant,49.06115882,-122.81215251
GEDS-7V3R4H,Barney's Pizza & Chicken,8140 128 St,Surrey,Restaurant,49.15063342,-122.86732229
KSMH-ASJPMA,Baron's Manor Pub,9568 192 St,Surrey,Restaurant,49.17632235,-122.69012307
JDSO-AC3PRJ,Basant Sweet,8148 128 St,Surrey,Restaurant,49.15057771,-122.86483054
GEDS-6JTQZT,Baselines Pub,8233 166 St,Surrey,Restaurant,49.15164148,-122.76197059
GEDS-6VQNPM,Baselines Pub,1938 152 St,Surrey,Restaurant,49.03724945,-122.8009197
A019739    ,Baskin-Robbins Ice Cream #5321,19585 Fraser Hwy,Surrey,Restaurant,49.11428272,-122.68011662
NDAA-9RWU3U,BBQ King Delight Inc,8973 152 St,Surrey,Restaurant,49.16573945,-122.80180434
SWOD-AKEM7K,BBQ Nation,7238 137 St,Surrey,Restaurant,49.1345334,-122.84261524
SDFO-8FAUQX,Bear Creek Market,13578 88 Ave,Surrey,Restaurant,49.16252604,-122.847019
SYOG-5M5624,Bear Creek Market,8776 140 St,Surrey,Restaurant,49.16246168,-122.83440143
SHEN-9ZSST8,Bear Creek Park Concession,13750 88 Ave,Surrey,Restaurant,49.16216661,-122.84241304
NDAA-986SEL,Bear Creek Villa,8233 140 St,Surrey,Restaurant,49.15268943,-122.83494426
ACAK-962S88,Beast & Brine Local Provisions,12823 Crescent Rd,Surrey,Restaurant,49.05320652,-122.86698325
HCAR-BA9QLB,Belles Cafe,14007 32 Ave,Surrey,Restaurant,49.06040443,-122.83325034
MARO-B2KQU3,Bengal Grill Restaurant,7750 128 St,Surrey,Restaurant,49.14358109,-122.86765344
SDFO-886NQ3,Bennett Craft & Kitchen,187 176 St,Surrey,Restaurant,49.00522904,-122.73581585
SWOD-AETSW7,Bento Nouveau,2332 160 St,Surrey,Restaurant,49.04383012,-122.77640308
PNEL-8SUUNC,Bento Nouveau (RCSS #1521),7550 King George Blvd,Surrey,Restaurant,49.13966312,-122.84525795
GEDS-6TCTLH,Bento Nouveau (RCSS #1556),14650 104 Ave,Surrey,Restaurant,49.19123455,-122.81602592
SHEN-B7BQC5,Best Western Peace Arch Inn,2293 King George Blvd,Surrey,Restaurant,49.04345776,-122.79142702
GEDS-7NQ2E6,Bethshan Gardens,17528 59 Ave,Surrey,Restaurant,49.10942888,-122.7372715
GEDS-6HJTPV,Bhaia Sweet & Restaurant,13753 72 Ave,Surrey,Restaurant,49.13377078,-122.84058109
PGOO-65PTDL,Bhaia Sweet Shop & Restaurant,6828 128 St,Surrey,Restaurant,49.12696263,-122.86753123
NDAA-A4VRMG,Bharat Parmar Sweet Shop & Restaurant,13745 72 Ave,Surrey,Restaurant,49.13376451,-122.84112685
PNEL-8RHMTB,Bharat Sweets & Restaurant,15166 Fraser Hwy,Surrey,Restaurant,49.16628593,-122.80239283
NDAA-93AV3A,Big Chicken Town,15280 101 Ave,Surrey,Restaurant,49.18597274,-122.79860311
GEDS-85UR69,Big Ridge Brewing Company,5580 152 St,Surrey,Restaurant,49.10381618,-122.80067617
SHEN-AZ7MAQ,Big Star Sandwich Co (24th Ave),16050 24 Ave,Surrey,Restaurant,49.04470344,-122.7776793
SWOD-APUNLH,Big Star Sandwich Co (Surrey),13402 104 Ave,Surrey,Restaurant,49.19147564,-122.85085672
SPLH-ARZV5U,Black Tiger Coffee Co,19255 Fraser Hwy,Surrey,Restaurant,49.11894729,-122.68943107
SHEN-AZUN3H,Blaze Pizza,2433 161A St,Surrey,Restaurant,49.04668069,-122.77530164
NDAA-9BXTB7,Blenz Central City,13450 102 Ave,Surrey,Restaurant,49.18791904,-122.84876653
HCAR-AW9VDF,Blenz Coffee,16855 24 Ave,Surrey,Restaurant,49.04596382,-122.75523835
PNEL-8RZMFC,Blenz Coffee (152nd),1711 152 St,Surrey,Restaurant,49.0331143,-122.80166897
SWOD-A59RBM,Blenz Coffee (Central City South),10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.84584777
SWOD-AHJR4U,Blenz Coffee (Sullivan Heights),14330 64 Ave,Surrey,Restaurant,49.11851305,-122.82521495
SDFO-8LPPWW,Blenz Coffee Cafe,9750 140 St,Surrey,Restaurant,49.1797256,-122.83382477
SDFO-8HETFG,Blenz Coffee Kiosk (140th St),9750 140 St,Surrey,Restaurant,49.1797256,-122.83382477
HCAR-B93S8S,Blenz Guildford Recreation Centre,15105 105 Ave,Surrey,Restaurant,49.19341233,-122.80253945
NDAA-9BXPQ9,Blenz SFU Kiosk,13450 102 Ave,Surrey,Restaurant,49.18791904,-122.84876653
NDAA-A4NNJN,Boiling Point,15146 100 Ave,Surrey,Restaurant,49.18396932,-122.80224523
NDAA-A2KMBQ,Bolivar Heights Gas Bar,13916 Grosvenor Rd,Surrey,Restaurant,49.20368515,-122.83634833
GEDS-77FUY9,Bollywood Banquet Hall,8166 128 St,Surrey,Restaurant,49.15130553,-122.86739367
GEDS-6KQRHX,Bombay Banquet Hall,7475 135 St,Surrey,Restaurant,49.13828837,-122.84878162
ACAK-9C6MAB,Bon Accord Care Services Ltd,13350 Old Yale Rd,Surrey,Restaurant,49.18612305,-122.85260015
SWOD-A8TQQ4,Bon Ga Korean Restaurant,10356 Whalley Blvd,Surrey,Restaurant,49.19082227,-122.84171555
NDAA-9RFNPY,Bonny Castle Childrens Center,10706 148 St,Surrey,Restaurant,49.19706791,-122.81210468
A018373    ,Bonnycastle Montessori Day Care Food Service,14630 107A Ave,Surrey,Restaurant,49.19768616,-122.8170029
SHEN-ALTU9K,Boom Bee,15155 101 Ave,Surrey,Restaurant,49.18629935,-122.80223401
SHEN-A2FSZ2,Booster Juice #232,10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.84584777
SHEN-9YTTFZ,Booster Juice #278,12080 Nordel Way,Surrey,Restaurant,49.16109806,-122.8886041
NDAA-BC5MC3,Booster Juice #565,16555 Fraser Hwy,Surrey,Restaurant,49.15194416,-122.76410396
JDSO-ACVPWV,Booster Juice (Fraser Hwy),18640 Fraser Hwy,Surrey,Restaurant,49.12546293,-122.70609458
GEDS-78JP6B,Booster Juice (Surrey),15355 24 Ave,Surrey,Restaurant,49.04583671,-122.79750443
NDAA-8R8V4H,Boston Pizza #020,6486 176 St,Surrey,Restaurant,49.12017053,-122.73456085
SHEN-AKHSUG,Boston Pizza #18 - Nordel Way,12060 Nordel Way,Surrey,Restaurant,49.1617169,-122.88780373
SHEN-AAKQEF,Boston Pizza #59,15980 Fraser Hwy,Surrey,Restaurant,49.15829516,-122.78191619
A019248    ,Boston Pizza #61,15125 100 Ave,Surrey,Restaurant,49.18440821,-122.80340699999999
A016601    ,Boston Pizza #62,1956 152 St,Surrey,Restaurant,49.03760224,-122.80095989
A020094    ,Boston Pizza #73,7488 King George Blvd,Surrey,Restaurant,49.13853724,-122.84525515
DMIL-AC3L9S,Boulevard Shelter,10677 Whalley Blvd,Surrey,Restaurant,49.19652835,-122.84266346
ACAK-9BEUV9,Bourbon Street Grill (Guildford),10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
GEDS-6HPQAD,Bozzini's Restaurant (Surrey),13655 104 Ave,Surrey,Restaurant,49.19173246,-122.84373117
GEDS-6NLNUT,Starbucks Coffee #4620,18737 Fraser Hwy,Surrey,Restaurant,49.12463696,-122.70301653
GEDS-7D4VHM,Starbucks Coffee #4715,12830 96 Ave,Surrey,Restaurant,49.17696905,-122.86709444
GEDS-74DUWT,Starbucks Coffee #4775,6476 176 St,Surrey,Restaurant,49.12001039,-122.73457578
GEDS-77ZUHF,Starbucks Coffee #4811,15976 108 Ave,Surrey,Restaurant,49.19859349,-122.77942957
GEDS-7RRUYU,Starbucks Coffee #4865,2453 161A St,Surrey,Restaurant,49.04707987,-122.77611766
GEDS-7YSU36,Starbucks Coffee #4941,10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.84584777
GEDS-7W7V3T,Starbucks Coffee #4976,12025 Nordel Way,Surrey,Restaurant,49.16237241,-122.8888952
HCAR-AWNVE9,Starbucks Coffee #52925,16010 24 Ave,Surrey,Restaurant,49.04523092,-122.77856759
NDAA-9P7SJ7,Starbucks Coffee Company #21565,9908 King George Blvd,Surrey,Restaurant,49.18334718,-122.84499471
HCAR-B6J27A,Steve Cobon Building (Site #3),13455 107A Ave,Surrey,Restaurant,49.19756634,-122.84953184
SHEN-AZMSSS,Steve's Poke Bar,9965 152 St,Surrey,Restaurant,49.18379312,-122.80127286
HCAR-BD9T8J,Steve's Poke Bar (Central City),10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.84584777
GEDS-6M4MKD,Sub Garden #1,13482 72 Ave,Surrey,Restaurant,49.13339404,-122.84889395
HCAR-BANTEG,Subkuchh Convenience Store,14390 64 Ave,Surrey,Restaurant,49.1184966,-122.82378999
GEDS-6HKMMM,Subway #10105,12842 96 Ave,Surrey,Restaurant,49.17696476,-122.86655037
GEDS-7E5PUV,Subway #10452,1797 152 St,Surrey,Restaurant,49.03448175,-122.80146488
A017403    ,Subway #10985,17700 56 Ave,Surrey,Restaurant,49.1038986,-122.73266352
A016854    ,Subway #11642,15551 Fraser Hwy,Surrey,Restaurant,49.16241879,-122.79125861
HCAR-B9MRTP,Subway #13302,10070 152 St,Surrey,Restaurant,49.18541427,-122.80059532
A017303    ,Subway #13542,1623 128 St,Surrey,Restaurant,49.03162785,-122.8677244
A017427    ,Subway #15577,7750 128 St,Surrey,Restaurant,49.14358109,-122.86765344
GEDS-6ZXNY3,Subway #17012,14806 108 Ave,Surrey,Restaurant,49.19856812,-122.81211474
A018782    ,Subway #17467,10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.84584777
A017856    ,Subway #22635,7550 King George Blvd,Surrey,Restaurant,49.13966312,-122.84525795
GEDS-6MFQTB,Subway #23526,18775 Fraser Hwy,Surrey,Restaurant,49.12479487,-122.7020931
NDAA-9C4RHK,Subway #26341,2990 152 St,Surrey,Restaurant,49.05622799,-122.80089259
GEDS-672V2W,Subway #27914,10392 King George Blvd,Surrey,Restaurant,49.19137558,-122.84509722
RORS-64MN7M,Subway #27963,6468 King George Blvd,Surrey,Restaurant,49.1202975,-122.84518062
